iter	RMSE
282	3.034458121
283	3.033872739
284	3.032955425
285	3.03212796
286	3.031517309
287	3.02982193
288	3.028546957
289	3.027830982
290	3.027075788
291	3.026327913
292	3.025042669
293	3.024172032
294	3.023169819
295	3.021873685
296	3.021031508
297	3.019954683
298	3.018277675
299	3.017337407
300	3.016571094
301	3.015487329
302	3.014593924
303	3.013731277
304	3.012999305
305	3.011803475
306	3.011009687
307	3.01013305
308	3.009271929
309	3.00809042
310	3.006954605
311	3.005968206
312	3.005016212
313	3.004425468
314	3.003381317
315	3.00266437
316	3.001888814
317	3.00059758
318	2.999982633
319	2.999067862
320	2.99856377
321	2.997771175
322	2.996248975
323	2.994780805
324	2.993895864
325	2.993389304
326	2.992742054
327	2.992148601
328	2.991286407
329	2.990331071
330	2.989727982
331	2.988660335
332	2.987999308
333	2.987071226
334	2.986160557
335	2.985482443
336	2.984379536
337	2.983456505
338	2.982989568
339	2.982037469
340	2.981370941
341	2.979992647
342	2.97891577
343	2.976897462
344	2.976252519
345	2.975425486
346	2.974778033
347	2.973882346
348	2.973286527
349	2.972804664
350	2.972118898
351	2.971179936
352	2.969440691
353	2.96863225
354	2.968060023
355	2.966824418
356	2.966126502
357	2.965441368
358	2.964577374
359	2.963714149
360	2.963141691
361	2.962094942
362	2.961239931
363	2.960509409
364	2.959678488
365	2.95810915
366	2.957108855
367	2.956229664
368	2.955439053
369	2.954804277
370	2.954020252
371	2.953197735
372	2.952380401
373	2.951543234
374	2.950501858
375	2.949676884
376	2.948573621
377	2.947725757
378	2.946766008
379	2.946053446
380	2.945589606
381	2.944822232
382	2.943869473
383	2.943378002
384	2.942627637
385	2.941804626
386	2.941265205
387	2.940286231
388	2.939345589
389	2.938608175
390	2.937654468
391	2.937106636
392	2.936369595
393	2.935556991
394	2.93498218
395	2.934475997
396	2.933663346
397	2.932972638
398	2.932200162
399	2.931011057
400	2.930298523
401	2.929553876
402	2.928818364
403	2.928176644
404	2.927357557
405	2.9262334
406	2.925238286
407	2.923961622
408	2.923256378
409	2.922717008
410	2.921242573
411	2.92054013
412	2.920143672
413	2.91970968
414	2.918811086
415	2.918159445
416	2.917665203
417	2.916660751
418	2.91591492
419	2.914870583
420	2.914336154
421	2.913543904
422	2.912608158
423	2.911745522
424	2.911218549
425	2.910333702
426	2.909658025
427	2.909225045
428	2.908919981
429	2.908273833
430	2.907622145
431	2.906812066
432	2.906166454
433	2.905359609
434	2.90474206
435	2.904308475
436	2.903045073
437	2.902032817
438	2.901299473
439	2.900277788
440	2.899549714
441	2.898930903
442	2.897883398
443	2.897299049
444	2.896476592
445	2.895723974
446	2.895105683
447	2.894485192
448	2.893808883
449	2.892588665
450	2.891936292
451	2.891561814
452	2.891150937
453	2.890619127
454	2.890042109
455	2.889094307
456	2.888206086
457	2.887378069
458	2.886707656
459	2.886104633
460	2.885506363
461	2.884271579
462	2.883811114
463	2.883366962
464	2.882609926
465	2.8817979
466	2.881010969
467	2.880313796
468	2.879928217
469	2.879427885
470	2.87879298
471	2.878125893
472	2.877513198
473	2.877188957
474	2.876769121
475	2.876308159
476	2.875693906
477	2.875082697
478	2.874213131
479	2.873557896
480	2.872872579
481	2.871988068
482	2.871621411
483	2.870737542
484	2.870003927
485	2.869424464
486	2.868814128
487	2.868338684
488	2.867949603
489	2.867416509
490	2.866833548
491	2.866214007
492	2.865685093
493	2.864351594
494	2.863941558
495	2.863374329
496	2.862896947
497	2.862262766
498	2.861483916
499	2.860835345
500	2.860293673
501	2.859618135
502	2.859157502
503	2.85864235
504	2.857788476
505	2.857420143
506	2.856530404
507	2.855791309
508	2.855279279
509	2.854640537
510	2.853825233
511	2.853334412
512	2.852710349
513	2.851871468
514	2.851372627
515	2.850635991
516	2.850078018
517	2.849341773
518	2.848609567
519	2.847952406
520	2.847519436
521	2.846959207
522	2.846503982
523	2.845872189
524	2.845155038
525	2.844682402
526	2.843886626
527	2.843492579
528	2.843057278
529	2.842439613
530	2.84158144
531	2.84088793
532	2.840440023
533	2.839851845
534	2.839355224
535	2.838739575
536	2.838107668
537	2.837591658
538	2.837045125
539	2.836428028
540	2.835703223
541	2.835140348
542	2.834537293
543	2.833638718
544	2.833029373
545	2.83247152
546	2.83183848
547	2.831172268
548	2.830747985
549	2.830258983
550	2.82988303
551	2.829281207
552	2.828657599
553	2.828393499
554	2.827800813
555	2.826878683
556	2.826249718
557	2.825617311
558	2.825149058
559	2.824605717
560	2.824134167
561	2.82333354
562	2.822694788
563	2.821616072
564	2.821105178
565	2.820607386
566	2.819680254
567	2.819176914
568	2.818444687
569	2.817914923
570	2.817638937
571	2.817048848
572	2.816785305
573	2.816185281
574	2.815603608
575	2.815052563
576	2.814613392
577	2.814214281
578	2.813705687
579	2.813142449
580	2.812401527
581	2.81141688
582	2.810809594
583	2.810362804
584	2.809783961
585	2.809524835
586	2.808882356
587	2.808382636
588	2.807982763
589	2.807387806
590	2.80702913
591	2.806572247
592	2.805902994
593	2.805628882
594	2.805166479
595	2.804558552
596	2.803916586
597	2.803288037
598	2.802763544
599	2.802281191
600	2.801541915
601	2.801073294
602	2.800587473
603	2.800097397
604	2.799680724
605	2.799170769
606	2.798551015
607	2.797953602
608	2.797588831
609	2.797038641
610	2.796887084
611	2.796478666
612	2.795959586
613	2.795237128
614	2.794661502
615	2.794064103
616	2.793522753
617	2.793284908
618	2.792684182
619	2.792208055
620	2.791670753
621	2.791259533
622	2.790920692
623	2.790422053
624	2.789796345
625	2.789395348
626	2.788775776
627	2.788329573
628	2.788023938
629	2.787802354
630	2.787281002
631	2.78654203
632	2.786236265
633	2.785605947
634	2.785148366
635	2.784493733
636	2.784021072
637	2.783681134
638	2.783214159
639	2.782596097
640	2.782195765
641	2.781657611
642	2.781150432
643	2.780739948
644	2.780275567
645	2.779903569
646	2.779397748
647	2.77889472
648	2.778516349
649	2.778057773
650	2.777346702
651	2.776970286
652	2.776409134
653	2.77608064
654	2.775788035
655	2.775201612
656	2.774866677
657	2.77465145
658	2.773992754
659	2.773629283
660	2.772800717
661	2.772294966
662	2.771974626
663	2.771489902
664	2.771136802
665	2.770599327
666	2.770158613
667	2.769529942
668	2.769145627
669	2.768585465
670	2.768043969
671	2.767560828
672	2.767301321
673	2.766747073
674	2.766103508
675	2.765672687
676	2.765400428
677	2.764908992
678	2.764619464
679	2.764144448
680	2.763696692
681	2.763085438
682	2.76287621
683	2.762489644
684	2.762170589
685	2.761795024
686	2.76142381
687	2.761085549
688	2.760537199
689	2.760216962
690	2.759686715
691	2.758404412
692	2.757860474
693	2.757399125
694	2.75689804
695	2.756450851
696	2.755979255
697	2.755503892
698	2.755096839
699	2.754749441
700	2.75405259
701	2.753524281
702	2.752994023
703	2.752414482
704	2.752091588
705	2.751612602
706	2.751258297
707	2.750745284
708	2.75039189
709	2.750029408
710	2.749718754
711	2.749476688
712	2.748911813
713	2.748617088
714	2.748180076
715	2.74754247
716	2.747058306
717	2.74659313
718	2.746289004
719	2.745876273
720	2.745612787
721	2.74528588
722	2.745066549
723	2.744620701
724	2.744452201
725	2.744126991
726	2.743731756
727	2.743371573
728	2.742794174
729	2.742436906
730	2.741829261
731	2.741488396
732	2.741108008
733	2.740625334
734	2.740275897
735	2.739924384
736	2.739436446
737	2.739179329
738	2.738761681
739	2.738303334
740	2.738070078
741	2.7377184
742	2.737394648
743	2.737070444
744	2.736596739
745	2.736277677
746	2.735772038
747	2.735232019
748	2.734856666
749	2.734567662
750	2.73397641
751	2.733720207
752	2.733328712
753	2.732971876
754	2.732484696
755	2.73218395
756	2.731265373
757	2.73080584
758	2.730506555
759	2.730066837
760	2.729642648
761	2.729187947
762	2.728803092
763	2.728517874
764	2.727990555
765	2.727668336
766	2.727150384
767	2.72686408
768	2.726466145
769	2.726201298
770	2.725910595
771	2.725553923
772	2.725245402
773	2.725030521
774	2.724531004
775	2.724004052
776	2.72368726
777	2.723346359
778	2.722974826
779	2.722641346
780	2.722150951
781	2.721817662
782	2.721500457
783	2.721072832
784	2.720574202
785	2.720209866
786	2.71982956
787	2.719421512
788	2.719041334
789	2.718310778
790	2.717924127
791	2.717254084
792	2.716957006
793	2.716609462
794	2.716245993
795	2.715704449
796	2.715343746
797	2.714987594
798	2.714552105
799	2.714278576
800	2.71401448
801	2.713603211
802	2.713196178
803	2.712897057
804	2.712493318
805	2.712077328
806	2.711718005
807	2.711351909
808	2.710952947
809	2.710234517
810	2.709748518
811	2.709553275
812	2.709234846
813	2.708731358
814	2.708399686
815	2.708057498
816	2.707709803
817	2.707342061
818	2.707012837
819	2.706471594
820	2.706119937
821	2.705695917
822	2.705243356
823	2.704718893
824	2.70436364
825	2.704109736
826	2.703837239
827	2.703371494
828	2.702888032
829	2.702663456
830	2.702252382
831	2.701891131
832	2.701505285
833	2.700999182
834	2.700498759
835	2.700213315
836	2.699793063
837	2.699479087
838	2.69922566
839	2.698760051
840	2.698319838
841	2.698061626
842	2.697647656
843	2.697382682
844	2.697048564
845	2.696889124
846	2.696663222
847	2.696336551
848	2.69599087
849	2.695730855
850	2.695428421
851	2.695164777
852	2.694870949
853	2.694415698
854	2.694075227
855	2.693836946
856	2.693547846
857	2.693158423
858	2.692900345
859	2.692383759
860	2.692096511
861	2.69180292
862	2.691539204
863	2.691075951
864	2.690744545
865	2.690355235
866	2.6899517
867	2.689529067
868	2.689062409
869	2.688731971
870	2.688247367
871	2.687935995
872	2.687188793
873	2.686835321
874	2.686509482
875	2.686030968
876	2.685688357
877	2.685405763
878	2.685020827
879	2.684636351
880	2.684432676
881	2.684046262
882	2.683782411
883	2.683283884
884	2.682962668
885	2.682635138
886	2.681924876
887	2.681222542
888	2.680981125
889	2.680575208
890	2.67991701
891	2.679677828
892	2.679353037
893	2.678671733
894	2.678342834
895	2.677884719
896	2.677620131
897	2.67730986
898	2.677027771
899	2.676867137
900	2.676270074
901	2.675811892
902	2.675411672
903	2.67436387
904	2.674050857
905	2.67374367
906	2.673477413
907	2.67300088
908	2.672773773
909	2.672407722
910	2.671937304
911	2.671635788
912	2.671508317
913	2.671055941
914	2.670797608
915	2.6703399
916	2.669907976
917	2.669486395
918	2.669213308
919	2.66898512
920	2.668580175
921	2.668089974
922	2.667876481
923	2.667519767
924	2.667055529
925	2.66661091
926	2.666244
927	2.665868622
928	2.665486995
929	2.665085366
930	2.664683256
931	2.664134237
932	2.663578069
933	2.663202362
934	2.662978092
935	2.66268724
936	2.662241674
937	2.662079794
938	2.661731772
939	2.661378352
940	2.66107532
941	2.66075136
942	2.660377118
943	2.659916946
944	2.659566759
945	2.659088828
946	2.658630546
947	2.658493544
948	2.658243442
949	2.657868126
950	2.657476534
951	2.657139086
952	2.656822031
953	2.656462654
954	2.656062406
955	2.655494256
956	2.655219875
957	2.654914458
958	2.654528081
959	2.654187641
960	2.653808928
961	2.65349318
962	2.653048685
963	2.652751024
964	2.652344303
965	2.652146786
966	2.651938682
967	2.651685123
968	2.651363203
969	2.651033564
970	2.650817129
971	2.650466955
972	2.650048392
973	2.649389128
974	2.649107319
975	2.648702205
976	2.648437587
977	2.648184832
978	2.647882865
979	2.64762537
980	2.647379564
981	2.646979484
982	2.646837486
983	2.646477822
984	2.646234013
985	2.645912481
986	2.645753428
987	2.645288521
988	2.645127038
989	2.644845095
990	2.644646867
991	2.644352364
992	2.644017675
993	2.6436252
994	2.643235485
995	2.64301718
996	2.642797175
997	2.642541157
998	2.642234515
999	2.641885854
